09-15 13:41:24.638 I/Xposed  ( 5929): java.lang.Thread.getStackTrace(Thread.java:1720)
09-15 13:41:24.638 I/Xposed  ( 5929): com.demon.xposed_hook.XposedHook.getMethodStack(XposedHook.java:160)
09-15 13:41:24.638 I/Xposed  ( 5929): com.demon.xposed_hook.XposedHook.access$000(XposedHook.java:17)
09-15 13:41:24.638 I/Xposed  ( 5929): com.demon.xposed_hook.XposedHook$4.afterHookedMethod(XposedHook.java:94)
09-15 13:41:24.638 I/Xposed  ( 5929): de.robv.android.xposed.DexposedBridge.handleHookedArtMethod(DexposedBridge.java:265)
09-15 13:41:24.638 I/Xposed  ( 5929): me.weishu.epic.art.entry.Entry.onHookObject(Entry.java:69)
09-15 13:41:24.638 I/Xposed  ( 5929): me.weishu.epic.art.entry.Entry.referenceBridge(Entry.java:186)
09-15 13:41:24.638 I/Xposed  ( 5929): com.comm.lib.f.m.getCurProcessName(SourceFile:38)
09-15 13:41:24.638 I/Xposed  ( 5929): com.comm.lib.app.a.EQ(SourceFile:29)
09-15 13:41:24.638 I/Xposed  ( 5929): com.vchat.tmyl.app.SApplication.onCreate(SourceFile:58)
09-15 13:41:24.638 I/Xposed  ( 5929): android.app.Instrumentation.callApplicationOnCreate(Instrumentation.java:1190)
09-15 13:41:24.638 I/Xposed  ( 5929): com.lody.virtual.client.hook.delegate.InstrumentationDelegate.callApplicationOnCreate(InstrumentationDelegate.java:225)
09-15 13:41:24.638 I/Xposed  ( 5929): com.lody.virtual.client.hook.delegate.AppInstrumentation.callApplicationOnCreate(AppInstrumentation.java:176)
09-15 13:41:24.638 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplicationNoCheck(VClientImpl.java:365)
09-15 13:41:24.638 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplication(VClientImpl.java:218)
09-15 13:41:24.638 I/Xposed  ( 5929): com.lody.virtual.client.VClientImpl.bindApplicationForActivity(VClientImpl.java:213)
